CpdID,type,SMILES,UMAP1,UMAP2,id,UMAP1-opt,UMAP2-opt,QED
Aminoquinolone 8a,R-BIND2,Nc1cc2c(=O)c(C(=O)O)cn(C3CC3)c2cc1N1CCN(c2ccccn2)CC1,1.848645449,-2.229576349,352,2.2821054,10.748511,0.642069134
Aminoquinolone 22a,R-BIND2,Cn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(c4ccccn4)CC3)cc21,1.920636415,-2.106779099,353,5.009686,11.465177,0.747487165
WM5,R-BIND2,Cn1cc(C(=O)O)c(=O)c2cc(N)c(N3CCN(c4ccccn4)CC3)cc21,1.757737756,-2.112102747,354,3.6671882,11.17744,0.665233822
DB60,R-BIND2,c1cc(-c2ccc(-c3ccc(C4=NCCN4)cc3)o2)ccc1C1=NCCN1,2.434753656,2.007937908,355,13.398083,14.191489,0.753852374
DB75 / Furamidine,R-BIND2,N=C(N)c1ccc(-c2ccc(-c3ccc(C(=N)N)cc3)o2)cc1,3.708856821,3.393109322,356,21.244362,8.9155245,0.438232345
Prochlorperazine,R-BIND2,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,0.82539463,0.530139983,357,15.488738,15.002303,0.775124662
Quinozaline 3,R-BIND2,Nc1nc(N)c2c(N)c(N)ccc2n1,4.061864853,3.547217607,358,21.75461,-5.772618,0.431005903
S-Amino Acid Conjugate 1b,R-BIND2,CC(=O)Nc1nc(-c2cccc(NC(=O)C(N)CCCCN)c2)cs1,2.844761372,1.152304173,359,3.692316,0.034578994,0.536578194
S-Amino Acid Conjugate 3b,R-BIND2,CC(=O)Nc1nc(-c2cccc(NC(=O)C(N)Cc3c[nH]cn3)c2)cs1,3.29199791,1.071725249,360,5.342216,7.7851605,0.527907226
ST4133609,R-BIND2,Cc1ccc2c(N)c(C(=O)Nc3cccc(C(F)(F)F)c3)sc2n1,4.151247025,1.319648385,361,18.08531,7.336558,0.716267232
DPQ,R-BIND2,COc1cc2nc(N3CCNCC3)nc(N)c2cc1OC,1.211522818,-1.714088678,362,5.1340103,-10.414061,0.857176555
DPQ 6,R-BIND2,CCC(=O)N1CCN(c2nc(N)c3cc(OC)c(OC)cc3n2)CC1,1.281639814,-1.597451448,363,3.998046,-9.676728,0.892039399
DPQ 7,R-BIND2,COc1cc2nc(N3CCN(C(=O)C(C)C)CC3)nc(N)c2cc1OC,1.296573877,-1.686810493,364,3.656212,-9.192849,0.884601843
DPQ 8,R-BIND2,CCCC(=O)N1CCN(c2nc(N)c3cc(OC)c(OC)cc3n2)CC1,1.327036262,-1.648308635,365,3.611039,-8.867417,0.867765937
DPQ 10,R-BIND2,COc1cc2nc(N3CCN(C(=O)C4CC4)CC3)nc(N)c2cc1OC,1.338166833,-1.709975719,366,3.060001,-9.58539,0.88092652
Kaempferol,R-BIND2,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,6.613170624,1.320966601,367,20.00887,2.8206692,0.545851399
Compound 43 (MTDB),R-BIND2,CCOC(=O)c1ccccc1NC(=O)N1CCCN(Cc2csc(C)n2)CC1,1.870963216,-0.257026851,368,8.144439,1.221377,0.776413285
Compound 1 (2017),R-BIND2,CCN(CC)CCOc1ccc(Nc2nc(-c3ccccc3NC(=O)CCN3CCN(C)CC3)nc3ccccc23)cc1,1.274712563,-1.454641223,369,-9.276445,2.6152983,0.219036746
Targapremir-18a,R-BIND2,CN1CCN(c2ccc(-c3ccc4[nH]c(-c5cc(C(C)(C)C)c(OCCCC(=O)NCCCN=[N+]=[N-])c(C(C)(C)C)c5)nc4c3)cc2)CC1,1.657377958,-0.924109817,370,-9.586472,2.9654639,0.06840142
Targapremir-210,R-BIND2,CN1CCN(c2ccc3[nH]c(-c4ccc5[nH]c(-c6cccc(OCCCC(=O)NCCCN=[N+]=[N-])c6)nc5c4)nc3c2)CC1,1.719240427,-0.961679459,371,-9.602431,3.4236126,0.075316848
Compound 2ab,R-BIND2,CC(=O)c1ccc(C(=O)NC(CCCCN)C(=O)N2C[C@H](N)C[C@H](N)C2)cc1,2.515091658,0.689928889,372,2.7262762,0.2814198,0.363828399
